sentiment,emotion,summary
Negative,Sadness,"😢 - This single-word comment conveys sadness, fitting the negative category."
Negative,Anger,"The reviewer is angry about the hypocrisy of a rich owner, indicating anger."
Negative,Fear/Disgust,Throwing up blood -
Negative,Disgust,"The reviewer is disturbed by the sight of a baby's body, indicating disgust."
Negative,Surprise,"The reviewer is shocked by the sight of a dead dog, expressing a mix of fear and surprise."
Negative,Sadness,"I'm already throwing up just looking at it, oh Allah 😢😢😢 - The review expresses strong disgust and sadness."
Negative,Disgust,"The reviewer seems repulsed by an unpleasant smell, indicating disgust."
Negative,Anger,Why is this comment under the photo? - This review shows frustration or anger.
Negative,Sadness,"The combination of laughing and crying emoji 😭 indicates a mix of sadness and surprise, possibly due to a distressing yet humorous situation."
Negative,Sadness,The sentiment expresses empathy and sadness for someone's situation.
Negative,Surprise,"I'm suspicious, it's not natural for a dog to behave like this. 😕"
Negative,Disgust,Is that not a dead dog?
Negative,Sadness,😞
Negative,Regret,Why didn't I join in on the fun?🗿
Negative,Sadness,"""Feeling sorry"" indicates feelings of empathy or pity, often linked to sadness."
Negative,Disgust,Vomiting blood
Negative,Disgust,Why are there so many people cursing so viciously?😭
Negative,Anger,"""Wear a mask, will you?"" conveys frustration or annoyance."
Negative,Disgust,"""Is that a dead dog?"" indicates revulsion or displeasure."
Negative,Sadness,"The reviewer expresses pity, suggesting a sense of sadness or melancholy."
Negative,Anger,"The reviewer seems disappointed or angry about the portrayal of Konoha, suggesting anger."
Negative,Anger,Why can't I catch my breath?🗿🙏😭
Negative,Sadness,"The reviewer expresses pity, suggesting a sense of sadness or melancholy."
Negative,Disgust,"I'd vomit just looking at it, oh Allah 😢😢😢"
Negative,Disgust,"Despite the initial laughter (😂), the follow-up comment about vomiting and feeling nauseous indicates disgust."
Negative,Anger,"The comment suggests frustration and disapproval towards someone else's actions, implying a sense of injustice."
Negative,Disgust,"The use of ""covering my nose"" and ""😭"" indicates disgust and distaste."
Negative,Disgust,"The comment indicates a strong negative reaction, specifically related to nausea."
Negative,Anger,The comment expresses anger and disbelief towards the act of abandoning a dog.
Negative,Sadness,"It's so pitiful, the sound is so hoarse 😢💓"
Negative,Disgust,The smell is so strong here [crying]
Negative,Disgust,"The phrase ""treating a dead body"" suggests disgust and repulsion."
Negative,Sadness,"I can't even eat looking at her, I'd vomit 😭"
Negative,Sadness,"The comment expresses suspicion and concern, possibly hinting at a tragic situation."
Negative,Disgust,The statement about throwing up indicates disgust.
Negative,Sadness,The use of 😢 suggests deep sadness or grief.
Negative,Disgust,The question implies disgust or revulsion.
Negative,Sadness,The use of 😥 and 💓 suggests sadness or pity.
Negative,Sadness,"Feeling sorry indicates a sense of empathy or pity, suggesting a negative sentiment."
Negative,Disgust,"The comment, along with the laughing emoji, suggests a strong negative reaction, specifically related to disgust."
Negative,Disgust,"The phrase ""blood vomit"" suggests extreme disgust and distress."
Negative,Anger,The comment expresses anger and disappointment towards people's cruelty towards animals.
Negative,Disgust,The reviewer is shocked and disgusted by the treatment of dogs.
Negative,Fear,"The reviewer is trying to alleviate fear, indicating a negative emotion."
Negative,Disgust,"By Allah, I only watched but I also felt queasy, please 😭😭."
Negative,Sadness,"The crying face emoji expresses deep sorrow, classifying it as negative sadness."
Negative,Sadness,😢 indicates sadness or grief.
Negative,Regret,🗿 symbolizes regret or loss.
Negative,Disgust,🤢 expresses nausea or disgust.
Negative,Anger,"The reviewer expresses frustration and dissatisfaction, possibly with a situation in Indonesia regarding COVID-19."
Negative,Disgust,"The review expresses a sense of revulsion, comparing something unfavorable to sacrificing a dog."
Negative,Sadness,"Even though I'm Muslim, I'm not that brave, it's so sad 😭"
Negative,Sadness,"😭 Reflecting, covering the nose (Sadness, possibly indicating disgust or distress)"
Negative,Disgust,It's terrible to throw things into the river 🥲
Negative,Nausea,"😭😭 (Multiple instances of sadness or distress, possibly indicating disgust or discomfort)"
Negative,Surprise,"The exclamation ""Oh my God"" suggests surprise, possibly at something disturbing or shocking."
Negative,Fear,Can't even imagine the smell. 😵
Negative,Sadness,"The smell is so strong, it's here. 😭"
Negative,Sadness,"😭😭😭 (Multiple instances of sadness, expressing deep dismay or distress)"
Negative,Anger,"The multiple crying face emojis, especially in rapid succession, suggest extreme distress and anger, classifying it as negative."
Negative,Sadness,"The crying face emoji clearly expresses sadness, making it a negative emotion."
Negative,Sadness/Grief,"The multiple ""😭"" emojis suggest intense sadness or grief, possibly due to a tragic event."
Negative,Anger,"The text expresses outrage and disgust about a societal issue, classified as negative anger."
Negative,Sadness,"""The comment on Hinat is really unfortunate"" expresses sadness or disappointment."
Negative,Sadness,Crying face (repeated) emphasizes intense sadness or distress.
Negative,Fear,"""Scared, please"" clearly expresses fear."
Negative,Anger,"""Rich like a dog for a charm"" suggests frustration or anger."
Negative,Sadness,Crying face signifies sadness or distress.
Negative,Sadness,"Your heavenly wages are big, oh my. 😢"
Negative,Fear,"""Jir is so scary"" expresses fear and anxiety."
Negative,Suspicion,"😕 I'm suspicious, it's not a natural dog smell."
Negative,Disgust,"The comment about Hinat being unfortunate could indicate disappointment or disgust, depending on the context."
Negative,Sadness,The repeated crying face emoji emphasizes deep sadness or distress.
Negative,Sadness,😢
Negative,Fear,"""Scared, please"" indicates fear or anxiety."
Negative,Anger,"The phrase ""Rich like a dog for a charm"" suggests frustration or anger."
Negative,Nausea,"The reviewer expresses physical discomfort while watching, possibly due to disturbing content."
Negative,Anger/Fear,"😕 implies suspicion, fear, or anger."
Negative,Sadness,The crying face emoji indicates sadness or distress.
Negative,Suspicion,"The reviewer expresses doubt or unease, suggesting a potential dangerous or malicious situation."
Negative,Disgust,"The mere sight of it makes me feel nauseous, let alone those in that position."
Negative,Disgust/Nausea,"The review expresses a strong negative reaction, both verbally and through emojis, suggesting disgust or nausea."
Negative,Fear/Surprise,"The instruction to ""cover our noses"" suggests fear or surprise, possibly due to a distressing situation."
Negative,Nausea (not a standard Ekman emotion),"The review expresses feeling nauseous, indicating a strong negative physical reaction."
Negative,Disgust,"So strong, no need for a mask when opening it, yuck. (The review expresses disgust, indicating a negative sentiment.)"
Negative,Disgust,The reviewer expresses strong displeasure and distaste due to an unpleasant smell.
Negative,Disgust,The review indicates disgust as it expresses a negative sentiment towards the content.
Negative,Sadness,"""No good, no good"" suggests disappointment or sadness."
Negative,Disgust,"The reviewer continues to express disgust, indicating the smell is pervasive and unbearable."
Negative,Disgust,"Expressing exasperation or discomfort, possibly due to a distressing scene."
Negative,Sadness,"This statement implies a sense of loss or regret, possibly related to a missed opportunity or a tragic event."
Negative,Anger,"The reviewer expresses anger or hostility, possibly due to a perceived injustice or harmful act."
Negative,Nausea,"By Allah, I only watch but I also get nauseous, please 😭😭 indicates a negative physical reaction, possibly disgust or distress."
Negative,Sadness,"Bowing, apologetic could indicate sadness or regret."
Negative,Anger,"Bro, I was wondering to my brain, who's the brave parent who abandons their child in a river? expresses anger and disbelief."
Negative,Disgust,"😭 in this context, expresses strong disgust."
Negative,Sadness,This single tear emoji typically indicates sadness or deep emotion.
Negative,Disgust,😭😭😭 signifies extreme disgust and dissatisfaction.
Negative,Suspicion,"The reviewer continues to express doubt, now considering the possibility of intentional harm to a pet."
Negative,Disgust,The review expresses nausea and disgust at the situation described.
Negative,Disgust,The review expresses disgust towards the careless handling of COVID-19 in Indonesia.
Negative,Fear,The repeated use of the fearful emoji suggests extreme terror or dread.
Negative,Fear,😭😭😭😭😭😭 expresses extreme fear or distress.
Negative,Sadness,"Despite the religious context, the reviewer expresses sadness, possibly due to feelings of inadequacy or fear."
Negative,Disgust,😭😭 conveys extreme disgust or revulsion.
Negative,Sadness,This statement expresses sorrow or disapproval related to a perceived wrongful act.
Negative,Anger,The sentiment is negative due to the criticism and frustration expressed.
Negative,Sadness,😭 signifies sadness or grief.
Negative,Anger/Frustration,"The reviewer expresses frustration and disbelief over a situation (Indonesia not being hit by COVID), possibly indicating anger."
Negative,Disgust,🥵 expresses extreme disgust or aversion.
Negative,Confusion,Why am I joining the funeral procession? 😕
Negative,Disgust,Vomiting blood. 😷
Negative,Sadness,The repeated use of crying emojis suggests deep sadness or distress.
